rust,deep reddish orange,orange,#b7410e,183,65,14
saffron,brilliant orange yellow,yellow,#f4c431,244,196,49
sage,light yellowish green,green,#9dc183,157,193,131
salmon,strong yellowish pink,pink,#ff8c69,255,140,105
sandalwood,moderate yellowish brown,brown,#8c6440,140,100,64
sangria,very dark red,red,#4D0F28,77,15,40
sapphire,strong blue,blue,#0f52ba,15,82,186
scarlet,vivid orange,orange,#ff2400,255,36,0
sea,brilliant green,green,#3c9992,60,153,146
sea blue,strong greenish blue,blue,#006994,0,105,148
sea green,moderate green,green,#2e8b57,46,139,87
seafoam,very light bluish green,green,#9fe2bf,159,226,191
sienna,dark reddish orange,orange,#a0522d,160,82,45
silver,light purplish gray,gray,#c0c0c0,192,192,192
steel blue,brilliant purplish blue,blue,#4682b4,70,130,180
sunglow,brilliant orange yellow,yellow,#ffcc33,255,204,51
tamarind,blackish red,red,#341515,52,21,21
tangerine,vivid orange,orange,#f28500,242,133,0
tea green,pale yellow-green,yellow-green,#d0f0c0,208,240,192
terracotta,moderate reddish orange,orange,#cb6843,203,104,67
thistle,very light purple,purple,#d8bfd8,216,191,216
tomato,strong reddish orange,orange,#ff6347,255,99,71
turquoise,brilliant greenish blue,blue,#30d5c8,48,213,200
tyrian purple,very deep purplish red,red,#66023C,102,2,60
umber,moderate yellowish brown,brown,#826644,130,102,68
vermilion,vivid reddish orange,orange,#e34234,227,66,52
violet,vivid reddish purple,purple,#8F00FF,143,0,255
viridian,moderate green,green,#40826d,64,130,109
walnut,strong brown,brown,#773f1a,119,63,26
watermelon,vivid purplish red,red,#fd4659,253,70,89
wet clay,light grayish yellowish brown,brown,#a49690,164,150,144
wheat,light yellow,yellow,#fbdd7e,251,221,126
wine,dark red,red,#722f37,114,47,55
winter's day,greenish white,white,#def7fe,222,247,254
